Occupation,weekly_hours,daily_work_hours_consistency,weekly_work_days_consistency,fixed_commute_times,shift_work_status,overtime_exceeds_10hrs,works_on_saturdays,works_on_sundays,satisfaction
4,48.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,48.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0
5,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
4,84.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
6,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
6,35.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
6,48.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,40.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
6,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
4,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
2,44.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
2,30.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
4,40.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
9,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
8,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
4,72.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
2,50.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
4,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,54.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,70.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
4,72.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0
6,40.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
6,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
4,84.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
9,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
5,72.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0
6,9.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
6,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
5,48.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0
6,45.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2,39.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
9,84.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4,40.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
3,44.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,72.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
3,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
8,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,50.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
7,36.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
3,50.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,10.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
4,48.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
8,52.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
4,70.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
3,48.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
4,60.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
3,45.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
8,50.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
